Frame,Just_Person_In_Frame,Left_Hand_Is_Up,Right_Hand_Is_Up,Both_Hands_Are_Up,There_Is_No_Person
1,0,1,0,0,0
2,0,1,0,0,0
3,0,1,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,1,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,0,0,1,0,0
11,0,0,1,0,0
12,0,0,1,0,0
13,0,0,1,0,0
14,0,0,1,0,0
15,0,0,0,0,1
16,0,0,0,0,1
17,0,0,0,0,1
18,0,0,0,0,1
19,0,0,0,1,0
20,0,0,0,1,0
21,0,0,0,1,0
22,0,0,0,1,0
23,0,0,0,1,0
24,0,0,0,1,0
25,0,1,0,0,0
26,0,1,0,0,0
27,0,1,0,0,0
28,0,1,0,0,0
29,0,1,0,0,0
30,0,1,0,0,0
